"","distance","location","Model"
"539",0.771813818905966,"armstrong","Pots"
"540",0.715334427992628,"armstrong","Pots"
"541",0.710509760046492,"armstrong","Pots"
"542",0.746794598862551,"armstrong","Pots"
"543",0.715040167593064,"armstrong","Pots"
"544",0.787991001689909,"armstrong","Pots"
"545",0.774457629835525,"armstrong","Pots"
"546",0.807237242117302,"armstrong","Pots"
"547",0.83256665319762,"armstrong","Pots"
"548",0.753781015569849,"armstrong","Pots"
"549",0.808741159241613,"armstrong","Pots"
"550",0.788468948888757,"armstrong","Pots"
"551",0.743104381245184,"armstrong","Pots"
"552",0.660927427753986,"armstrong","Pots"
"553",0.620460542456896,"armstrong","Pots"
"554",0.607841802787223,"armstrong","Pots"
"555",0.6407710812931,"armstrong","Pots"
"556",0.646275586221045,"armstrong","Pots"
"557",0.587740799537409,"armstrong","Pots"
"558",0.624415590692207,"armstrong","Pots"
"559",0.666320588851625,"armstrong","Pots"
"560",0.669505856606115,"armstrong","Pots"
"561",0.701146134384831,"armstrong","Pots"
"562",0.700595932776028,"armstrong","Pots"
"563",0.655007922448843,"armstrong","Pots"
"564",0.594385691162771,"armstrong","Pots"
"565",0.625127140739216,"armstrong","Pots"
"566",0.658355967058644,"armstrong","Pots"
"567",0.70629184085315,"armstrong","Pots"
"568",0.685885902390768,"armstrong","Pots"
"569",0.654154748421967,"armstrong","Pots"
"570",0.625947726226228,"armstrong","Pots"
"571",0.622814737878124,"armstrong","Pots"
"572",0.659136742543298,"armstrong","Pots"
"573",0.691803230188199,"armstrong","Pots"
"574",0.720047502187953,"armstrong","Pots"
"575",0.733007379572662,"armstrong","Pots"
"576",0.721123875933741,"armstrong","Pots"
"577",0.679462268875881,"armstrong","Pots"
"578",0.648098293813743,"armstrong","Pots"
"579",0.639194554182025,"armstrong","Pots"
"580",0.672698493265151,"armstrong","Pots"
"581",0.702100373441217,"armstrong","Pots"
"582",0.741417683348891,"armstrong","Pots"
"583",0.705745963320444,"armstrong","Pots"
"584",0.687952090985336,"armstrong","Pots"
"585",0.660497419258625,"armstrong","Pots"
"586",0.642881997621559,"armstrong","Pots"
"587",0.666016207384349,"armstrong","Pots"
"588",0.696452289952738,"armstrong","Pots"
"589",0.731003365992586,"armstrong","Pots"
"590",0.733517669045613,"armstrong","Pots"
"591",0.707201039785569,"armstrong","Pots"
"592",0.677372363342325,"armstrong","Pots"
"593",0.6855864133285,"armstrong","Pots"
"594",0.72534429290106,"armstrong","Pots"
"595",0.742034322651497,"armstrong","Pots"
"596",0.717273416085094,"armstrong","Pots"
"597",0.741496732690502,"armstrong","Pots"
"598",0.768711685898409,"armstrong","Pots"
"599",0.75864980511681,"armstrong","Pots"
"600",0.721233946424472,"armstrong","Pots"
"601",0.695264082686636,"armstrong","Pots"
"602",0.729634706379165,"armstrong","Pots"
"603",0.752832505356558,"armstrong","Pots"
"604",0.758394129916099,"armstrong","Pots"
"605",0.790034622374674,"armstrong","Pots"
"606",0.788363721816002,"armstrong","Pots"
"607",0.78394716532172,"armstrong","Pots"
"608",0.753939671028751,"armstrong","Pots"
"609",0.757537469845609,"armstrong","Pots"
