dst_sank,zone,lat,lon,year,Model
397.318,N,-31.984848501739393,115.51774625587316,2014,Pots
395.932,N,-31.984658970608077,115.5176159536394,2014,Pots
386.187,N,-31.9845642052235,115.51746195912705,2014,Pots
367.622,N,-31.984564206012763,115.51727242881134,2014,Pots
351,N,-31.98475373607678,115.51715397211626,2014,Pots
413.741,N,-31.98457605087807,115.51776994722124,2014,Pots
403.032,N,-31.984398365918302,115.51756857075677,2014,Pots
402.567,N,-31.984955112882467,115.51785286680725,2014,Pots
388.027,N,-31.98519202602842,115.51778179208691,2014,Pots
354.612,N,-31.98532232851251,115.51748565116857,2014,Pots
329.555,N,-31.98534601964538,115.51721320071447,2014,Pots
344.641,N,-31.985511859630044,115.51747380534698,2014,Pots
366.976,N,-31.985440785010532,115.5176870273121,2014,Pots
395.932,N,-31.98532232855452,115.5179476323383,2014,Pots
356.475,N,-31.986115988774454,115.51787655847549,2014,Pots
338.311,N,-31.98636474702639,115.51775810089447,2014,Pots
360.483,N,-31.98626998178806,115.5179831689923,2014,Pots
349.537,N,-31.98644766707355,115.51793578643347,2014,Pots
373.288,N,-31.986885956483654,115.51830300244897,2014,Pots
388.831,N,-31.98686226548027,115.51842145881281,2014,Pots
400.232,N,-31.986779345476183,115.51852807015095,2014,Pots
397.476,N,-31.98694518553936,115.51856360712837,2014,Pots
381.532,N,-31.987016259520612,115.51840961328067,2014,Pots
366.601,N,-31.987028104963386,115.51823192775677,2014,Pots
380.516,N,-31.986743808806715,115.51833853925315,2014,Pots
393.145,N,-31.986613506592256,115.51846884118545,2014,Pots
405.998,N,-31.98669642597778,115.5186228347055,2014,Pots
412.955,N,-31.986874110801423,115.51869390965837,2014,Pots
364.104,N,-31.98683857453248,115.51817270014283,2014,Pots
515.503,N,-31.987644079933684,115.51979555617656,2014,Pots
500.799,N,-31.98766777141599,115.51962971650556,2014,Pots
486.164,N,-31.987703308147,115.5194994150014,2014,Pots
486.164,N,-31.987703308147,115.5194994150014,2014,Pots
497.419,N,-31.987833610003264,115.51959417962041,2014,Pots
482.501,N,-31.987857302124024,115.51942834060908,2014,Pots
511.879,N,-31.987809919292527,115.51974817391722,2014,Pots
508.45,N,-31.98796391270842,115.51968894554645,2014,Pots
489.238,N,-31.987987604526335,115.51949941494033,2014,Pots
495.002,N,-31.987490086116935,115.51960602594066,2014,Pots
514.994,N,-31.987501931999393,115.51978371062701,2014,Pots
521.432,N,-31.987750690696753,115.51986663035373,2014,Pots
576.946,N,-31.98823636294266,115.5203878393858,2014,Pots
562.959,N,-31.98827190014902,115.52023384587177,2014,Pots
571.572,N,-31.98842589390307,115.52025753716772,2014,Pots
585.31,N,-31.9884022026542,115.52043522275707,2014,Pots
584.52,N,-31.988603579274073,115.52037599428773,2014,Pots
601.959,N,-31.98850881364313,115.52056552492154,2014,Pots
569.908,N,-31.98857988770358,115.5202101549678,2014,Pots
698.895,N,-31.988106061103853,115.52172640006081,2014,Pots
679.588,N,-31.988153443767445,115.52151317807765,2014,Pots
673.104,N,-31.98836666561253,115.52139472176394,2014,Pots
677.452,N,-31.98857988773037,115.52139472155052,2014,Pots
697.804,N,-31.98837851091865,115.52164348080878,2014,Pots
714.35,N,-31.98814159733432,115.5218685480776,2014,Pots
722.524,N,-31.98839035661684,115.52191593142334,2014,Pots
710.931,N,-31.988544350222128,115.52176193796261,2014,Pots
691.255,N,-31.98854435089969,115.52153686939728,2014,Pots
681.516,N,-31.98829559150972,115.52148948701884,2014,Pots
664.698,N,-31.988165288946593,115.52131180238318,2014,Pots
687.485,N,-31.987975758004964,115.52157240683623,2014,Pots
717.37,N,-31.987975758047675,115.5219040852699,2014,Pots
729.82,N,-31.98821267147004,115.52202254248003,2014,Pots
706.276,N,-31.988283746082523,115.5217737831376,2014,Pots
725.699,N,-31.98854435011629,115.52192777662133,2014,Pots
720.706,N,-31.987063641514503,115.52197515927382,2014,Pots
710.016,N,-31.98724132664915,115.52189223969471,2014,Pots
725.131,N,-31.98721763584605,115.52203438793464,2014,Pots
