X,Y
115.4736244,-32.01837275
115.4755554,-32.01921043
115.4767005,-32.01926754
115.4760045,-32.01837275
115.4759146,-32.01778257
115.4768128,-32.01776353
115.4775313,-32.01778257
115.4767679,-32.01713526
115.4774191,-32.01711623
115.4797094,-32.01644988
115.4806973,-32.01688777
115.4748144,-32.01618334
115.4756677,-32.01620238
115.5530213,-32.01745892
115.5535153,-32.01709719
115.5538521,-32.01671642
115.5530662,-32.01504101
115.5534031,-32.01458408
115.5537174,-32.01403195
115.5496083,-32.01696392
115.5485979,-32.01812526
115.5478345,-32.01816333
115.5469588,-32.01823949
115.5462403,-32.01835372
115.5441745,-32.01732565
115.5433662,-32.01820141
115.5425578,-32.01738276
115.5413678,-32.0171543
115.5291865,-32.02732026
115.5295907,-32.02720604
115.5295682,-32.02749158
115.5291865,-32.02767243
115.5328465,-32.02657784
115.5328577,-32.02608289
115.5328016,-32.02565456
115.5326444,-32.02464562
115.532869,-32.02441717
115.5331609,-32.02410306
115.5325995,-32.02413162
115.5315442,-32.02428392
115.5325097,-32.0238651
115.5328914,-32.02377943
115.5325658,-32.0236081
115.5330823,-32.02327495
115.5327679,-32.0230941
115.532622,-32.02296084
115.5322515,-32.02305602
115.5329476,-32.02277047
115.5323188,-32.02277047
115.5319933,-32.02228501
115.532229,-32.02213272
115.5318249,-32.02203753
115.5320494,-32.02188523
115.5317126,-32.02179004
115.5325097,-32.02171389
115.5322066,-32.02137122
115.531488,-32.02152352
115.5317463,-32.02140929
115.5314319,-32.02127603
115.5148834,-31.98100273
115.5149508,-31.98153602
115.5152539,-31.98167886
115.5156693,-31.98202168
115.5150181,-31.98219309
115.51531,-31.98241212
115.5205081,-31.98157411
115.5192619,-31.98135508
115.5183301,-31.98116462
115.5172074,-31.98123128
115.5200253,-31.98225023
115.5190598,-31.98177409
115.5182627,-31.98168838
115.5179708,-31.98221214
115.5179596,-31.9826978
115.5190374,-31.98250735
115.5197783,-31.98277399
115.5195538,-31.98314537
115.5189588,-31.98299301
115.5146813,-31.98424048
115.5156131,-31.98425953
115.5164215,-31.98430714
115.51714,-31.98434523
115.5178922,-31.98433571
115.5185771,-31.98431666
115.5193854,-31.98430714
115.5149058,-31.98541176
115.5158265,-31.98530701
115.5165674,-31.98542128
115.517982,-31.98537367
115.5208561,-31.98169791
115.5212378,-31.98183123
115.5215522,-31.98198359
115.5218666,-31.98208834
115.520901,-31.98205025
115.5213613,-31.98225975
115.5202948,-31.98253592
115.5203172,-31.98296444
115.5207663,-31.98268828
115.5211593,-31.98277399
115.5213613,-31.98307871
115.5203846,-31.98354533
115.5209459,-31.98372626
115.5208786,-31.98778283
115.5210919,-31.98821133
115.5204969,-31.98808754
115.5206765,-31.9885827
115.520306,-31.988497
115.5206204,-31.99099178
